round,accuracy,precision,recall,f1,winner_office,attack_detected,epsilon_spent
1,0.5469,0.001876172607879925,0.00025,0.00044120891242003087,1,True,5.0
2,0.4698,0.3882978723404255,0.56575,0.46052096052096053,1,True,10.0
3,0.8115,1.0,0.52875,0.6917416189697465,3,True,15.0
4,0.9734,0.9376465072667605,1.0,0.9678199854827002,3,True,20.0
5,0.8659,0.995527394707417,0.66775,0.7993416130480323,0,True,25.0
6,0.8856,0.9996501049685095,0.71425,0.8331875182268883,1,True,30.0
7,0.9979,1.0,0.99475,0.9973680912395037,3,True,35.0
8,0.8941,0.9346733668341709,0.7905,0.8565623730190979,1,True,40.0
9,0.8785,0.9992828970957333,0.69675,0.8210340256296951,1,True,45.0
10,0.9983,0.9984981226533166,0.99725,0.9978736710444027,0,True,50.0
